Designator,Mid X,Mid Y,Rotation,Layer
U1,-154.593998,91.43875,270.0,bottom
U10,-174.351998,85.78875,0.0,bottom
U2,-157.243998,101.33875,180.0,bottom
U3,-150.793998,100.93875,0.0,bottom
U4,-179.127298,91.41375,270.0,bottom
U5,-153.694,103.18875,90.0,bottom
U6,-147.018998,88.32625,180.0,bottom
U7,-181.777298,101.31375,180.0,bottom
U8,-175.327298,100.91375,0.0,bottom
U9,-178.2273,103.16375,90.0,bottom
Y1,-159.768998,88.06375,90.0,bottom
Y2,-156.343998,97.63875,180.0,bottom
Y3,-184.302298,88.03875,90.0,bottom
Y4,-180.877298,97.61375,180.0,bottom
rD1,-138.151998,99.91375,270.0,bottom
rJ2,-162.597,60.50375,270.0,bottom
rLED1,-151.963172,41.33932,66.12,bottom
rLED10,-95.426998,66.575,0.0,bottom
rLED11,-95.426998,85.625,0.0,bottom
rLED12,-95.426998,104.675,0.0,bottom
rLED13,-76.376998,102.29375,0.0,bottom
rLED14,-76.376998,83.24375,0.0,bottom
rLED15,-76.376998,64.19375,0.0,bottom
rLED16,-57.326998,59.43125,0.0,bottom
rLED17,-57.326998,78.48125,0.0,bottom
rLED18,-57.326998,97.53125,0.0,bottom
rLED19,-38.276998,97.53125,0.0,bottom
rLED2,-133.527,61.8125,0.0,bottom
rLED20,-38.276998,78.48125,0.0,bottom
rLED21,-38.276998,59.43125,0.0,bottom
rLED3,-133.527,80.8625,0.0,bottom
rLED4,-133.527,99.9125,0.0,bottom
rLED5,-114.476998,102.29375,0.0,bottom
rLED6,-114.476998,83.24375,0.0,bottom
rLED7,-114.476998,64.19375,0.0,bottom
rLED8,-124.781226,40.688861,348.06,bottom
rLED9,-104.951998,42.7625,0.0,bottom
rSW1,-147.608363,43.267287,66.12,bottom
rSW10,-95.426998,71.3375,0.0,bottom
rSW11,-95.426998,90.3875,0.0,bottom
rSW12,-95.426998,109.4375,0.0,bottom
rSW13,-76.376998,107.05625,0.0,bottom
rSW14,-76.376998,88.00625,0.0,bottom
rSW15,-76.376998,68.95625,0.0,bottom
rSW16,-57.326998,64.19375,0.0,bottom
rSW17,-57.326998,83.24375,0.0,bottom
rSW18,-57.326998,102.29375,0.0,bottom
rSW19,-38.276998,102.29375,0.0,bottom
rSW2,-133.526998,66.575,0.0,bottom
rSW20,-38.276998,83.24375,0.0,bottom
rSW21,-38.276998,64.19375,0.0,bottom
rSW3,-133.526998,85.625,0.0,bottom
rSW4,-133.526998,104.675,0.0,bottom
rSW5,-114.476998,107.05625,0.0,bottom
rSW6,-114.476998,88.00625,0.0,bottom
rSW7,-114.476998,68.95625,0.0,bottom
rSW8,-125.766524,45.348323,348.06,bottom
rSW9,-104.951998,47.525,0.0,bottom
